ISBN,Book_Title,Book_Author,Image_URL_L,Book_Rating,Total_Votes,Avg_rating,Price
0312995423,Digital Fortress : A Thriller,Dan Brown,http://images.amazon.com/images/P/0312995423.01.LZZZZZZZ.jpg,7.0,59,1.8,$49.99
0385416342,The Firm,John Grisham,http://images.amazon.com/images/P/0385416342.01.LZZZZZZZ.jpg,7.0,219,2.2,$69.99
038542471X,The Client,John Grisham,http://images.amazon.com/images/P/038542471X.01.LZZZZZZZ.jpg,0.0,177,2.4,$79.99
0515128554,Heart of the Sea (Irish Trilogy),Nora Roberts,http://images.amazon.com/images/P/0515128554.01.LZZZZZZZ.jpg,8.0,74,2.5,$89.99
0671867113,Moonlight Becomes You,Mary Higgins Clark,http://images.amazon.com/images/P/0671867113.01.LZZZZZZZ.jpg,0.0,59,2.3,$69.99
0316666343,The Lovely Bones: A Novel,Alice Sebold,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg,0.0,261,3.2,$69.99
0440224675,Hannibal,Thomas Harris,http://images.amazon.com/images/P/0440224675.01.LZZZZZZZ.jpg,0.0,180,1.8,$79.99
0553569058,The Robber Bride,Margaret Atwood,http://images.amazon.com/images/P/0553569058.01.LZZZZZZZ.jpg,0.0,78,1.4,$59.99
0345424719,A Widow for One Year,JOHN IRVING,http://images.amazon.com/images/P/0345424719.01.LZZZZZZZ.jpg,10.0,96,1.1,$79.99
0375726403,Empire Falls,Richard Russo,http://images.amazon.com/images/P/0375726403.01.LZZZZZZZ.jpg,0.0,102,2.4,$49.99
0385503857,Oryx and Crake,Margaret Atwood,http://images.amazon.com/images/P/0385503857.01.LZZZZZZZ.jpg,9.0,57,1.6,$49.99
0440226104,Black and Blue,ANNA QUINDLEN,http://images.amazon.com/images/P/0440226104.01.LZZZZZZZ.jpg,7.0,95,1.4,$89.99
0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,http://images.amazon.com/images/P/0671021001.01.LZZZZZZZ.jpg,7.0,123,2.0,$79.99
0805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,http://images.amazon.com/images/P/0805063897.01.LZZZZZZZ.jpg,10.0,112,3.1,$59.99
0842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,http://images.amazon.com/images/P/0842329129.01.LZZZZZZZ.jpg,9.0,99,3.2,$59.99
0786868015,The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon,http://images.amazon.com/images/P/0786868015.01.LZZZZZZZ.jpg,0.0,65,2.2,$59.99
0060915544,The Bean Trees,Barbara Kingsolver,http://images.amazon.com/images/P/0060915544.01.LZZZZZZZ.jpg,8.0,129,2.7,$59.99
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg,0.0,167,3.1,$79.99
0312278586,The Nanny Diaries: A Novel,Emma McLaughlin,http://images.amazon.com/images/P/0312278586.01.LZZZZZZZ.jpg,0.0,221,2.0,$69.99
0380710218,Postmortem,Patricia Daniels Cornwell,http://images.amazon.com/images/P/0380710218.01.LZZZZZZZ.jpg,0.0,77,2.5,$59.99
0671673688,While My Pretty One Sleeps,Mary Higgins Clark,http://images.amazon.com/images/P/0671673688.01.LZZZZZZZ.jpg,0.0,73,0.9,$69.99
0385721420,Three Junes,JULIA GLASS,http://images.amazon.com/images/P/0385721420.01.LZZZZZZZ.jpg,7.0,80,1.9,$59.99
0451202341,Back Roads,Tawni O'Dell,http://images.amazon.com/images/P/0451202341.01.LZZZZZZZ.jpg,0.0,115,1.5,$69.99
0743418190,In Her Shoes : A Novel,Jennifer Weiner,http://images.amazon.com/images/P/0743418190.01.LZZZZZZZ.jpg,0.0,78,2.7,$69.99
0385335407,The Kiss,Danielle Steel,http://images.amazon.com/images/P/0385335407.01.LZZZZZZZ.jpg,0.0,76,1.8,$49.99
0425181111,Strangers,Dean R. Koontz,http://images.amazon.com/images/P/0425181111.01.LZZZZZZZ.jpg,0.0,57,1.8,$89.99
0449907481,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,http://images.amazon.com/images/P/0449907481.01.LZZZZZZZ.jpg,0.0,76,1.1,$59.99
0515127833,River's End,Nora Roberts,http://images.amazon.com/images/P/0515127833.01.LZZZZZZZ.jpg,0.0,77,1.7,$79.99
0385424728,The Chamber,John Grisham,http://images.amazon.com/images/P/0385424728.01.LZZZZZZZ.jpg,0.0,177,1.9,$89.99
0385472951,The Partner,John Grisham,http://images.amazon.com/images/P/0385472951.01.LZZZZZZZ.jpg,0.0,152,2.2,$49.99
0425182878,Chosen Prey,John Sandford,http://images.amazon.com/images/P/0425182878.01.LZZZZZZZ.jpg,0.0,72,2.0,$59.99
0553564528,Guilty as Sin,TAMI HOAG,http://images.amazon.com/images/P/0553564528.01.LZZZZZZZ.jpg,0.0,62,1.0,$69.99
055356451X,Night Sins,TAMI HOAG,http://images.amazon.com/images/P/055356451X.01.LZZZZZZZ.jpg,0.0,76,1.8,$79.99
0345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,http://images.amazon.com/images/P/0345313860.01.LZZZZZZZ.jpg,0.0,118,2.6,$49.99
0345369947,The Mummy or Ramses the Damned,Anne Rice,http://images.amazon.com/images/P/0345369947.01.LZZZZZZZ.jpg,0.0,79,2.4,$49.99
0385306032,Vanished,Danielle Steel,http://images.amazon.com/images/P/0385306032.01.LZZZZZZZ.jpg,0.0,66,1.4,$59.99
0446394521,Daisy Fay and the Miracle Man,Fannie Flagg,http://images.amazon.com/images/P/0446394521.01.LZZZZZZZ.jpg,0.0,77,1.4,$89.99
068484267X,Angela's Ashes: A Memoir,Frank McCourt,http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg,10.0,80,2.9,$59.99
0553578693,The Next Accident,LISA GARDNER,http://images.amazon.com/images/P/0553578693.01.LZZZZZZZ.jpg,10.0,62,1.4,$79.99
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,http://images.amazon.com/images/P/0060938455.01.LZZZZZZZ.jpg,0.0,88,3.0,$89.99
0440122090,Echoes,Maeve Binchy,http://images.amazon.com/images/P/0440122090.01.LZZZZZZZ.jpg,0.0,54,1.8,$69.99
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,http://images.amazon.com/images/P/0061009059.01.LZZZZZZZ.jpg,9.0,106,2.5,$59.99
0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,http://images.amazon.com/images/P/0446364193.01.LZZZZZZZ.jpg,0.0,130,1.4,$79.99
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,http://images.amazon.com/images/P/0446672211.01.LZZZZZZZ.jpg,0.0,178,2.3,$49.99
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,http://images.amazon.com/images/P/0140293248.01.LZZZZZZZ.jpg,0.0,185,1.7,$69.99
0142000205,Icy Sparks,Gwyn Hyman Rubio,http://images.amazon.com/images/P/0142000205.01.LZZZZZZZ.jpg,0.0,94,1.8,$59.99
0385504209,The Da Vinci Code,Dan Brown,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg,8.0,216,3.2,$79.99
0385500769,A Map of the World,Jane Hamilton,http://images.amazon.com/images/P/0385500769.01.LZZZZZZZ.jpg,0.0,116,1.4,$49.99
0425184129,Big Trouble,Dave Barry,http://images.amazon.com/images/P/0425184129.01.LZZZZZZZ.jpg,5.0,75,1.6,$49.99
0151001006,Snow Falling on Cedars,David Guterson,http://images.amazon.com/images/P/0151001006.01.LZZZZZZZ.jpg,0.0,200,1.9,$69.99
0385505833,Skipping Christmas,JOHN GRISHAM,http://images.amazon.com/images/P/0385505833.01.LZZZZZZZ.jpg,5.0,100,2.9,$59.99
0679442790,The Reader,Bernhard Schlink,http://images.amazon.com/images/P/0679442790.01.LZZZZZZZ.jpg,0.0,138,1.7,$59.99
0743206045,Daddy's Little Girl,Mary Higgins Clark,http://images.amazon.com/images/P/0743206045.01.LZZZZZZZ.jpg,0.0,93,1.8,$79.99
0743406176,If Only It Were True,Marc Levy,http://images.amazon.com/images/P/0743406176.01.LZZZZZZZ.jpg,8.0,52,1.8,$79.99
0446523569,Message in a Bottle,Nicholas Sparks,http://images.amazon.com/images/P/0446523569.01.LZZZZZZZ.jpg,0.0,205,1.2,$59.99
0446527793,The Guardian,Nicholas Sparks,http://images.amazon.com/images/P/0446527793.01.LZZZZZZZ.jpg,10.0,71,2.0,$59.99
0446531332,Nights in Rodanthe,Nicholas Sparks,http://images.amazon.com/images/P/0446531332.01.LZZZZZZZ.jpg,0.0,61,1.7,$79.99
0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339711.01.LZZZZZZZ.jpg,0.0,78,3.8,$79.99
0399147128,The Villa,Nora Roberts,http://images.amazon.com/images/P/0399147128.01.LZZZZZZZ.jpg,0.0,97,1.5,$89.99
0316969443,Suzanne's Diary for Nicholas,James Patterson,http://images.amazon.com/images/P/0316969443.01.LZZZZZZZ.jpg,7.0,139,2.4,$79.99
0316693200,2nd Chance,James Patterson,http://images.amazon.com/images/P/0316693200.01.LZZZZZZZ.jpg,0.0,122,2.5,$59.99
0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,http://images.amazon.com/images/P/0064407667.01.LZZZZZZZ.jpg,0.0,92,2.7,$89.99
0316776963,Me Talk Pretty One Day,David Sedaris,http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg,8.0,141,2.3,$79.99
0451181379,The Door to December,Dean R. Koontz,http://images.amazon.com/images/P/0451181379.01.LZZZZZZZ.jpg,0.0,90,1.0,$49.99
0743211383,Dreamcatcher,Stephen King,http://images.amazon.com/images/P/0743211383.01.LZZZZZZZ.jpg,8.0,159,2.4,$49.99
0440218535,Smilla's Sense of Snow,Peter Hoeg,http://images.amazon.com/images/P/0440218535.01.LZZZZZZZ.jpg,0.0,81,1.0,$59.99
0440219078,The Giver (21st Century Reference),LOIS LOWRY,http://images.amazon.com/images/P/0440219078.01.LZZZZZZZ.jpg,8.0,54,2.6,$59.99
0312853238,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,http://images.amazon.com/images/P/0312853238.01.LZZZZZZZ.jpg,0.0,62,3.3,$79.99
0440211727,A Time to Kill,JOHN GRISHAM,http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg,8.0,208,2.1,$89.99
0345404777,No Safe Place,RICHARD NORTH PATTERSON,http://images.amazon.com/images/P/0345404777.01.LZZZZZZZ.jpg,0.0,53,0.4,$69.99
0440224829,Granny Dan,DANIELLE STEEL,http://images.amazon.com/images/P/0440224829.01.LZZZZZZZ.jpg,0.0,53,1.4,$59.99
0553212583,Wuthering Heights,EMILY BRONTE,http://images.amazon.com/images/P/0553212583.01.LZZZZZZZ.jpg,0.0,74,1.7,$49.99
0425166619,Toxin,Robin Cook,http://images.amazon.com/images/P/0425166619.01.LZZZZZZZ.jpg,6.0,55,1.5,$59.99
0553561618,Dark Paradise,TAMI HOAG,http://images.amazon.com/images/P/0553561618.01.LZZZZZZZ.jpg,0.0,71,1.3,$89.99
0312422156,Middlesex: A Novel,Jeffrey Eugenides,http://images.amazon.com/images/P/0312422156.01.LZZZZZZZ.jpg,0.0,91,2.4,$49.99
044022165X,The Rainmaker,JOHN GRISHAM,http://images.amazon.com/images/P/044022165X.01.LZZZZZZZ.jpg,0.0,176,1.7,$89.99
0425124347,The Bad Place,Dean R. Koontz,http://images.amazon.com/images/P/0425124347.01.LZZZZZZZ.jpg,0.0,59,2.1,$79.99
0449134482,Dances With Wolves,Michael Blake,http://images.amazon.com/images/P/0449134482.01.LZZZZZZZ.jpg,0.0,64,1.1,$69.99
034538184X,Degree of Guilt,Richard North Patterson,http://images.amazon.com/images/P/034538184X.01.LZZZZZZZ.jpg,0.0,59,1.2,$49.99
0671510053,SHIPPING NEWS,Annie Proulx,http://images.amazon.com/images/P/0671510053.01.LZZZZZZZ.jpg,0.0,110,1.9,$69.99
0385334036,The Smoke Jumper,Nicholas Evans,http://images.amazon.com/images/P/0385334036.01.LZZZZZZZ.jpg,1.0,74,0.8,$89.99
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,http://images.amazon.com/images/P/055321313X.01.LZZZZZZZ.jpg,0.0,88,3.2,$59.99
0743237188,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,http://images.amazon.com/images/P/0743237188.01.LZZZZZZZ.jpg,0.0,90,2.1,$89.99
0440216842,The Carousel,Belva Plain,http://images.amazon.com/images/P/0440216842.01.LZZZZZZZ.jpg,7.0,54,1.6,$49.99
0345443284,While I Was Gone,Sue Miller,http://images.amazon.com/images/P/0345443284.01.LZZZZZZZ.jpg,10.0,137,1.8,$49.99
0553273914,The House of the Spirits,Isabel Allende,http://images.amazon.com/images/P/0553273914.01.LZZZZZZZ.jpg,0.0,65,1.1,$89.99
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,http://images.amazon.com/images/P/0060928336.01.LZZZZZZZ.jpg,0.0,225,1.9,$49.99
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,http://images.amazon.com/images/P/0671003755.01.LZZZZZZZ.jpg,0.0,128,2.2,$69.99
0684844729,STONES FROM THE RIVER,Ursula Hegi,http://images.amazon.com/images/P/0684844729.01.LZZZZZZZ.jpg,0.0,133,1.9,$69.99
0440215625,Dragonfly in Amber,DIANA GABALDON,http://images.amazon.com/images/P/0440215625.01.LZZZZZZZ.jpg,10.0,70,3.4,$79.99
0316777730,Naked,David Sedaris,http://images.amazon.com/images/P/0316777730.01.LZZZZZZZ.jpg,0.0,51,2.4,$89.99
0446601241,Kiss the Girls,James Patterson,http://images.amazon.com/images/P/0446601241.01.LZZZZZZZ.jpg,8.0,115,2.1,$69.99
0451124340,Different Seasons,Stephen King,http://images.amazon.com/images/P/0451124340.01.LZZZZZZZ.jpg,0.0,52,2.7,$79.99
0345384466,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,http://images.amazon.com/images/P/0345384466.01.LZZZZZZZ.jpg,0.0,101,2.3,$49.99
0446604801,Jack &amp; Jill (Alex Cross Novels),James Patterson,http://images.amazon.com/images/P/0446604801.01.LZZZZZZZ.jpg,0.0,75,1.5,$89.99
0380789035,American Gods,Neil Gaiman,http://images.amazon.com/images/P/0380789035.01.LZZZZZZZ.jpg,0.0,92,1.9,$79.99
0440206154,Red Dragon,Thomas Harris,http://images.amazon.com/images/P/0440206154.01.LZZZZZZZ.jpg,0.0,148,2.0,$69.99
0345370775,Jurassic Park,Michael Crichton,http://images.amazon.com/images/P/0345370775.01.LZZZZZZZ.jpg,0.0,171,2.4,$59.99
0373484224,Stanislaski Brothers (Silhouette Promo),Nora Roberts,http://images.amazon.com/images/P/0373484224.01.LZZZZZZZ.jpg,0.0,51,1.9,$89.99
0380789019,Neverwhere,Neil Gaiman,http://images.amazon.com/images/P/0380789019.01.LZZZZZZZ.jpg,0.0,69,3.1,$59.99
0380018179,The Thorn Birds,Colleen McCullough,http://images.amazon.com/images/P/0380018179.01.LZZZZZZZ.jpg,0.0,106,2.1,$69.99
067101420X,"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,http://images.amazon.com/images/P/067101420X.01.LZZZZZZZ.jpg,4.0,54,1.7,$89.99
0786866276,Mother of Pearl,Melinda Haynes,http://images.amazon.com/images/P/0786866276.01.LZZZZZZZ.jpg,0.0,53,1.1,$49.99
0385720920,Choke,CHUCK PALAHNIUK,http://images.amazon.com/images/P/0385720920.01.LZZZZZZZ.jpg,0.0,51,1.4,$69.99
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,http://images.amazon.com/images/P/0380813815.01.LZZZZZZZ.jpg,10.0,63,3.5,$49.99
0140099832,Lake Wobegon Days,Garrison Keillor,http://images.amazon.com/images/P/0140099832.01.LZZZZZZZ.jpg,9.0,52,1.8,$89.99
1573225789,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,http://images.amazon.com/images/P/1573225789.01.LZZZZZZZ.jpg,0.0,82,2.7,$89.99
0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,http://images.amazon.com/images/P/0553296981.01.LZZZZZZZ.jpg,0.0,62,3.7,$89.99
0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,http://images.amazon.com/images/P/0385335881.01.LZZZZZZZ.jpg,0.0,76,3.1,$49.99
0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,http://images.amazon.com/images/P/0385335482.01.LZZZZZZZ.jpg,0.0,115,2.6,$89.99
0553258001,The Cider House Rules,John Irving,http://images.amazon.com/images/P/0553258001.01.LZZZZZZZ.jpg,8.0,146,1.5,$59.99
0441003257,Good Omens,Neil Gaiman,http://images.amazon.com/images/P/0441003257.01.LZZZZZZZ.jpg,0.0,54,2.1,$89.99
0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,http://images.amazon.com/images/P/0060930535.01.LZZZZZZZ.jpg,0.0,130,1.4,$59.99
0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,http://images.amazon.com/images/P/0375702709.01.LZZZZZZZ.jpg,0.0,59,1.5,$69.99
